Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Jul-13 04:29:01,7,115,2022-06-07 01:07:02.782609,2022-07-07 19:19:15,2023-07-02 09:50:20.285714,2023-07-10 21:40:58
2023-Jul-14 04:29:00,7,119,2022-06-25 04:52:34.798319,2022-08-22 15:17:09,2023-07-02 19:42:49.714286,2023-07-10 23:59:19
2023-Jul-15 04:28:29,8,120,2022-06-28 09:45:33.150000,2022-08-23 09:04:30,2023-07-05 21:57:40.500000,2023-07-11 17:10:13
2023-Jul-16 04:27:54,8,120,2022-06-28 09:45:33.150000,2022-08-23 09:04:30,2023-07-05 21:57:40.500000,2023-07-11 17:10:13
2023-Jul-17 04:29:22,8,120,2022-06-28 09:45:33.150000,2022-08-23 09:04:30,2023-07-05 21:57:40.500000,2023-07-11 17:10:13
2023-Jul-18 04:27:13,6,119,2022-06-27 23:49:15.848739,2022-08-23 09:04:30,2023-07-03 08:13:46,2023-07-11 01:00:03
2023-Jul-19 04:30:16,14,119,2022-06-27 23:49:15.848739,2022-08-23 09:04:30,2023-07-12 19:13:58.285714,2023-07-18 21:26:08
2023-Jul-20 04:25:56,6,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-05 23:36:42.500000,2023-07-17 18:36:46
2023-Jul-21 04:26:02,6,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-05 23:36:42.500000,2023-07-17 18:36:46
2023-Jul-22 04:24:56,6,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-05 23:36:42.500000,2023-07-17 18:36:46
2023-Jul-23 04:24:54,6,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-05 23:36:42.500000,2023-07-17 18:36:46
2023-Jul-24 04:26:04,6,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-05 23:36:42.500000,2023-07-17 18:36:46
2023-Jul-25 04:26:12,5,121,2022-07-04 09:14:32.652893,2022-08-23 12:37:02,2023-07-03 15:00:41.800000,2023-07-11 17:10:13
2023-Jul-26 04:24:45,6,122,2022-07-07 13:11:51.262295,2022-08-25 18:28:32,2023-07-09 16:27:50.333333,2023-07-25 21:31:49
2023-Jul-27 04:24:28,3,125,2022-07-16 20:44:05.680000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Jul-28 04:24:57,3,125,2022-07-16 20:44:05.680000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
