library,latest version,charmcraft/main,rockcraft/main,snapcraft/main,snapcraft/hotfix/7.5,snapcraft/hotfix/8.0,snapcraft/feature/craft-application
craft-grammar,1.1.2,1.1.2,n/a,1.1.2,1.1.1,1.1.2,1.1.2
craft-parts,1.27.0,1.26.2,1.27.0,1.27.0,1.19.7,1.26.2,1.26.2
craft-store,2.6.0,2.6.0,n/a,2.6.0,2.5.0,2.6.0,2.6.0
craft-application,1.2.1,unknown,1.2.1,1.2.1,n/a,n/a,unknown
craft-providers,1.23.0,1.23.0,1.23.0,1.23.0,1.20.1,1.23.0,1.23.0
craft-archives,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3
craft-cli,2.5.1,2.5.1,2.5.1,2.5.1,1.2.0,2.5.1,2.5.1
